編號,縣市,執照類別,狀態,機構名稱,負責獸醫,機構電話,行動號碼,機構地址
"1","新竹市","獸醫師","開業","耀眼動物醫院","張佑安","(03)5726688","","新竹市東區忠孝路279-3號"
"2","新竹市","獸醫師","開業","澄品動物醫院","廖曉晴","(03)5352503","","新竹市北區東大路二段315號"
"3","新竹市","獸醫佐","開業","中美獸醫院","湯禮宏","(03)5209576","","新竹市明湖路608巷21弄14號"
"4","新竹市","獸醫師","開業","懷生動物醫院","曾鈺鈴","(03)5752382","","新竹市金城一路24號"
"5","新竹市","獸醫師","開業","台大安欣動物醫院","劉佳遠","(03)5751317","","新竹市東光路25號"
"6","新竹市","獸醫師","開業","紐約動物醫院","陳玉霖","","0958608801","新竹市民族路247號"
"7","新竹市","獸醫師","開業","風城動物醫院","許幸宗","(03)5305073","","新竹市中華路4段32號"
"8","新竹市","獸醫師","開業","安定動物醫院","張勝智","(03)5611369","","新竹市東區公園路227巷28號"
"9","新竹市","獸醫師","開業","康乃爾動物醫院","毛嘉慶","(03)5241824","","新竹市北區武陵路16號1樓"
"10","新竹市","獸醫師","開業","台大慈仁動物醫院","譚至仁","(03)5333931","","新竹市北區武陵路2-1號"
"11","新竹市","獸醫師","開業","全美經國動物醫院","姚忠怡","(03)5382555","","新竹市經國路3段6號"
"12","新竹市","獸醫師","開業","全美忠孝動物醫院","林修文","(03)5620869","","新竹市東區東光路177號"
"13","新竹市","獸醫師","開業","築心動物醫院","蔡逸政","(03)5338055","","新竹市東區經國路一段654號"
"14","新竹市","獸醫師","開業","新方伴侶動物醫院","朱品愫","(03)6667657","","新竹市東區金城三路1號"
"15","新竹市","獸醫師","開業","大福小幸動物醫院","鄭銘賢","","","新竹市經國路三段92巷6號"
"16","新竹市","獸醫師","開業","毛毛村動物醫院","洪于絜","(03)5620606","","新竹市東區南大路79-2號"
"17","新竹市","獸醫師","開業","有你動物醫院","林秀萍","(03)5300291","","新竹市香山區中華路五段46號"
"18","新竹市","獸醫師","開業","度度鳥特殊寵物專科醫院","楊宗潔","","0965109093","新竹市東區西大路315巷7號1樓"
"19","新竹市","獸醫師","開業","杜瑪犬貓專科醫院","賴昶維","(03)5428119","","新竹市北區東大路二段147號"
"20","新竹市","獸醫師","開業","高飛動物醫院","鍾翰平","(03)5775899","","新竹市新竹市東區科學園路106號1樓"
"21","新竹市","獸醫師","開業","新竺動物醫院","劉珮綸","(03)5429961","","新竹市竹光路98號"
"22","新竹市","獸醫師","開業","全天候動物醫院","單子豪","(03)6686356","","新竹市東區關新路225號1樓"
"23","新竹市","獸醫師","開業","中日動物醫院","洪熒娥","(03)5231015","","新竹市西大路656號"
"24","新竹市","獸醫師","開業","仁德家畜醫院","林杰玄","(03)5250313","","新竹市北大路300號"
"25","新竹市","獸醫師","開業","仁心寵物醫院","呂國璋","(03)5429958","","新竹市北大路105號"
"26","新竹市","獸醫師","開業","信安動物醫院","蔡東昇","(03)5318126","","新竹市民權路242號"
"27","新竹市","獸醫師","開業","加賀動物醫院","林聞櫃","(03)5254171","","新竹市中華路二段613號"
"28","新竹市","獸醫師","開業","全美動物醫院","陳明遠","(03)5266284","","新竹市四維路96號1樓"
"29","新竹市","獸醫師","開業","傑恩動物醫院","彭駿堯","(03)5278578","","新竹市中華路二段667號1樓"
"30","新竹市","獸醫師","開業","協和動物診所","林鈺章","(03)5215380","","新竹市南大路48號"
"31","新竹市","獸醫師","開業","旺鑫動物醫院","吳永鑫","(03)5778558","","新竹市關東路23巷23號1樓"
"32","新竹市","獸醫師","開業","光華動物醫院","游振銘","(03)5439840","","新竹市水田街177號"
"33","新竹市","獸醫師","開業","宏仁動物醫院","倪清龍","(03)5420651","","新竹市民富街57號"
"34","新竹市","獸醫師","開業","淇寶寶動物醫院","黃婉琳","(03)5631093","","300_新竹市東區光復路1段360-22號"
"35","新竹市","獸醫師","開業","謙華動物醫院","歐千愉","(03)5619595","","300_新竹市新竹市公園路226號"
"36","新竹市","獸醫師","開業","渤海動物診所","吳政運","(03)5610432","","300_新竹市西大路102巷4號"
"37","新竹市","獸醫師","開業","全育動物醫院","南松","(03)5614316","","300_新竹市南大路436號"